Drug Name,ATC 1st Level
amiodarone hydrochloride,C - Cardiovascular system
Remimazolam Intervention,N - Nervous system
montmorrillonite,
bromhexine,R - Respiratory system
licorice root extract,
amiodarone Injection,C - Cardiovascular system
Remicade,L - Antineoplastic and immunomodulating agents
montelukast sodium,R - Respiratory system
bromfenac,S - Sensory organs
licorice allergenic extract,
amiodarone,C - Cardiovascular system
Remibrutinib Dose B,
montelukast 5 MG,R - Respiratory system
brolucizumab-dbll,S - Sensory organs
levulinic acid,
aminosalicylic acid,J - Antiinfectives for systemic use
Remibrutinib Dose A,
montelukast 10 MG,R - Respiratory system
brolucizumab Injection,S - Sensory organs
levothyroxine / liothyronine,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
aminophylline,R - Respiratory system
Remazolam besylate,N - Nervous system
montelukast,R - Respiratory system
brolucizumab,S - Sensory organs
levothyroxine,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
aminolevulinic acid hydrochloride,L - Antineoplastic and immunomodulating agents
Relugolix/estradiol/norethisterone acetate,
monophosphoryl lipid A,
brodalumab,L - Antineoplastic and immunomodulating agents
levorphanol,
aminolevulinic acid HCL (ALA),L - Antineoplastic and immunomodulating agents
Relugolix CT,L - Antineoplastic and immunomodulating agents
Relugolix CT,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
monoolein,
broccoli sprout extract,
levonorgestrel Intrauterine System,G - Genito urinary system and sex hormones
aminolevulinic acid,L - Antineoplastic and immunomodulating agents
Relma-cel Followed by Tislelizumab,
monomethyl fumarate,
broccoli allergenic extract,V - Various
levonorgestrel,G - Genito urinary system and sex hormones
levonorgestrel,B - Blood and blood forming organs
aminolevulinate,L - Antineoplastic and immunomodulating agents
Relacorilant,
monofluorophosphate,A - Alimentary tract and metabolism
brivaracetam Oral Solution,N - Nervous system
levomilnacipran,N - Nervous system
amino acid (15) peritoneal dialysis solution,
Reinforced pancreaticojejunostomy with tissue adhesive glue modified cyanoacrylate (glubran,
monobasic potassium phosphate,V - Various
monobasic potassium phosphate,B - Blood and blood forming organs
brivaracetam 100 MG,N - Nervous system
levomefolate,A - Alimentary tract and metabolism
amiloride hydrochloride,C - Cardiovascular system
Regular oral anti-diabetic medications.,
mometasone furoate Dry Powder Inhaler,R - Respiratory system
brivaracetam,N - Nervous system
levoleucovorin,
amiloride,C - Cardiovascular system
Regular Fluoride Toothpaste (Crest Cavity Protection),A - Alimentary tract and metabolism
tangerine peel extract,
pharmacogenetic algorithm,
crospovidone (15 mpa.s at 5%),
Standard dose PTCY,G - Genito urinary system and sex hormones
Indocyanine Green (IC-Green),
ALC-2203-2,
vitamin MK7,
risperidone 4 MG,N - Nervous system
enoxaparin sodium,B - Blood and blood forming organs
tangerine allergenic extract,
pexidartinib,L - Antineoplastic and immunomodulating agents
croscarmellose sodium,
Standard bismuth quadruple therapy,G - Genito urinary system and sex hormones
Individualization of first voriconazole maintenance doses,J - Antiinfectives for systemic use
ALC-2203-1,
vitamin K2,A - Alimentary tract and metabolism
risperidone 3 MG,N - Nervous system
enoxaparin,B - Blood and blood forming organs
tamsulosin hydrochloride 0.4 MG,G - Genito urinary system and sex hormones
petrolatum,S - Sensory organs
petrolatum,D - Dermatologicals
petrolatum,C - Cardiovascular system
petrolatum,N - Nervous system
petrolatum,A - Alimentary tract and metabolism
croscarmellose,
Standard Therapy,G - Genito urinary system and sex hormones
Individual Patient TCR-Transduced PBL,
AKLIEF® Cream (Trifarotene,D - Dermatologicals
vitamin K1,B - Blood and blood forming organs
vitamin K1,A - Alimentary tract and metabolism
risperidone 2 MG,N - Nervous system
enmetazobactam,
tamsulosin hydrochloride,G - Genito urinary system and sex hormones
pertuzumab,L - Antineoplastic and immunomodulating agents
cromolyn sodium,S - Sensory organs
cromolyn sodium,D - Dermatologicals
cromolyn sodium,A - Alimentary tract and metabolism
cromolyn sodium,R - Respiratory system
Standard TB treatment,G - Genito urinary system and sex hormones
Indigofera tinctoria leaf extract,
AK154,
vitamin K,B - Blood and blood forming organs
vitamin K,A - Alimentary tract and metabolism
risperidone 1 MG,N - Nervous system
enfuvirtide,J - Antiinfectives for systemic use
tamsulosin,G - Genito urinary system and sex hormones
perphenazine,N - Nervous system
cromolyn,S - Sensory organs
cromolyn,D - Dermatologicals
cromolyn,A - Alimentary tract and metabolism
cromolyn,R - Respiratory system
Standard Systemic Analgesia,G - Genito urinary system and sex hormones
Inderal,C - Cardiovascular system
AK130,
vitamin E,B - Blood and blood forming organs
vitamin E,D - Dermatologicals
vitamin E,A - Alimentary tract and metabolism
vitamin E,C - Cardiovascular system
risperidone 0.5 MG,N - Nervous system
enfortumab vedotin-ejfv,L - Antineoplastic and immunomodulating agents
tamoxifen citrate,L - Antineoplastic and immunomodulating agents
permethrin,"P - Antiparasitic products, insecticides and repellents"
crizotinib 250 MG,L - Antineoplastic and immunomodulating agents
Standard Medical Therapy,G - Genito urinary system and sex hormones
Increase the frequency and extended infusion time of Piperacillin Sodium and Tazobactam Sodium for Injection (Bonda),
AK129,
vitamin D (cholecalciferol) supplementation,M - Musculo-skeletal system
vitamin D (cholecalciferol) supplementation,V - Various
vitamin D (cholecalciferol) supplementation,A - Alimentary tract and metabolism
vitamin D (cholecalciferol) supplementation,B - Blood and blood forming organs
risperidone,N - Nervous system
enfortumab,L - Antineoplastic and immunomodulating agents
tamoxifen 20 MG,L - Antineoplastic and immunomodulating agents
perlite,
crizotinib 200 MG,L - Antineoplastic and immunomodulating agents
Standard Lymphodepletion regimen,G - Genito urinary system and sex hormones
Incobotulinum Toxin A,M - Musculo-skeletal system
AK120,
vitamin D,
risedronic acid,M - Musculo-skeletal system
enflurane,N - Nervous system
tamoxifen 10 MG,L - Antineoplastic and immunomodulating agents
perineural Dexamethasone,S - Sensory organs
perineural Dexamethasone,D - Dermatologicals
perineural Dexamethasone,R - Respiratory system
perineural Dexamethasone,C - Cardiovascular system
perineural Dexamethasone,A - Alimentary tract and metabolism
perineural Dexamethasone,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
crizotinib,L - Antineoplastic and immunomodulating agents
Standard Lipid-Lowering Therapy,
Inaticabtagene autoleucel,
AK117,
vitamin B6,N - Nervous system
vitamin B6,A - Alimentary tract and metabolism
vitamin B6,B - Blood and blood forming organs
risedronate,M - Musculo-skeletal system
encorafenib + cetuximab + FOLFIRI,L - Antineoplastic and immunomodulating agents
tamoxifen,L - Antineoplastic and immunomodulating agents
perindoprilat,
crizanlizumab-tmca,B - Blood and blood forming organs
"Standard General Anesthesia Induction Using Propofol, Fentanyl and Midazolam",N - Nervous system
Inaticabtagene Autoleucel Injection,
"AK112, Gemcitabine, Cisplatin",L - Antineoplastic and immunomodulating agents
vitamin B12 Oral Solution,B - Blood and blood forming organs
risdiplam,M - Musculo-skeletal system
encorafenib,L - Antineoplastic and immunomodulating agents
tamanu oil,
perindopril erbumine,C - Cardiovascular system
crizanlizumab,B - Blood and blood forming organs
Standard Care Chemoradiation,G - Genito urinary system and sex hormones
Inahled Isoflurane,N - Nervous system
AK112 with SCRT and CapeOX,
vitamin B12 2 MG,B - Blood and blood forming organs
vitamin B12 2 MG,A - Alimentary tract and metabolism
risankizumab-rzaa Injection,L - Antineoplastic and immunomodulating agents
enasidenib,L - Antineoplastic and immunomodulating agents
talquetamab-tgvs,L - Antineoplastic and immunomodulating agents
perindopril,C - Cardiovascular system
crisaborole,D - Dermatologicals
Standard COPD Pharmacological Therapy (LAMA + LABA or LAMA + LABA + ICS),
Inactivated poliovirus vaccine (IPV),J - Antiinfectives for systemic use
AK112 with SCRT,
vitamin B12,B - Blood and blood forming organs
vitamin B12,A - Alimentary tract and metabolism
risankizumab-rzaa,L - Antineoplastic and immunomodulating agents
enalaprilat,C - Cardiovascular system
talquetamab,L - Antineoplastic and immunomodulating agents
pergolide mesylate,N - Nervous system
crinecerfont,
Standard Antibiotic Treatment,G - Genito urinary system and sex hormones
Inactivated influenza vaccine at Month,
AK112 Injection,
vitamin B complex,
risankizumab Prefilled Syringe,L - Antineoplastic and immunomodulating agents
enalapril maleate,C - Cardiovascular system
talimogene laherparepvec,L - Antineoplastic and immunomodulating agents
pergolide,N - Nervous system
cresol,
Standard Analgesia,G - Genito urinary system and sex hormones
Inactivated influenza vaccine (IIV) at baseline,
AK112 + paclitaxel,L - Antineoplastic and immunomodulating agents
vitamin A palmitate,S - Sensory organs
vitamin A palmitate,D - Dermatologicals
vitamin A palmitate,A - Alimentary tract and metabolism
vitamin A palmitate,R - Respiratory system
risankizumab,L - Antineoplastic and immunomodulating agents
enalapril,C - Cardiovascular system
taletrectinib,
perflutren,
creosote,R - Respiratory system
Standard Allergic Rhinitis Treatment,G - Genito urinary system and sex hormones
"In this group, patients received",
AK112,
vitamin A,S - Sensory organs
vitamin A,D - Dermatologicals
vitamin A,B - Blood and blood forming organs
vitamin A,R - Respiratory system
vitamin A,A - Alimentary tract and metabolism
ripretinib,L - Antineoplastic and immunomodulating agents
emu oil,
talc,
perfluorohexyloctane Ophthalmic Solution,
creosol,
Stamaril,J - Antiinfectives for systemic use
Imuran,L - Antineoplastic and immunomodulating agents
AK104+lenvatinib,L - Antineoplastic and immunomodulating agents
vismodegib 150 MG,L - Antineoplastic and immunomodulating agents
riociguat 2.5 MG,C - Cardiovascular system
emtricitabine 200 MG,J - Antiinfectives for systemic use
talazoparib 1 MG,L - Antineoplastic and immunomodulating agents
perfluorohexyloctane,
creatinine,
Stalevo,N - Nervous system
Imodium,A - Alimentary tract and metabolism
AK104 plus,
vismodegib,L - Antineoplastic and immunomodulating agents
riociguat,C - Cardiovascular system
emtricitabine / tenofovir disoproxil,J - Antiinfectives for systemic use
talazoparib 0.5 MG,L - Antineoplastic and immunomodulating agents
perampanel Oral Suspension [FYCOMPA],N - Nervous system
creatine,
St. John's wort extract,N - Nervous system
Immunotherapy Therapy,
AK104,
vipivotide tetraxetan,V - Various
rimegepant 75 MG,N - Nervous system
emtricitabine / tenofovir alafenamide,J - Antiinfectives for systemic use
talazoparib,L - Antineoplastic and immunomodulating agents
perampanel Oral Suspension,N - Nervous system
cranberry juice,
Sprycel,L - Antineoplastic and immunomodulating agents
Immunotherapy (with or without chemotherapy) maintenance therapy,
AGEN2373 (RP2D),
vinyl acetate,
rimegepant,N - Nervous system
emtricitabine,J - Antiinfectives for systemic use
tagraxofusp,L - Antineoplastic and immunomodulating agents
perampanel 4 MG,N - Nervous system
cranberry allergenic extract,V - Various
Spravato (Esketamine),N - Nervous system
Immunotherapy (pembrolizumab),L - Antineoplastic and immunomodulating agents
AGEN2373,
vinorelbine,L - Antineoplastic and immunomodulating agents
rimantadine,J - Antiinfectives for systemic use
empagliflozin 25 MG,A - Alimentary tract and metabolism
tafluprost,S - Sensory organs
perampanel,N - Nervous system
cow milk allergenic extract,V - Various
Spravato,N - Nervous system
Immunotherapy (nivolumab and relatlimab),L - Antineoplastic and immunomodulating agents
AGB101,
vincristine sulfate liposome Injection,L - Antineoplastic and immunomodulating agents
rilzabrutinib,
empagliflozin 10 MG,A - Alimentary tract and metabolism
tafenoquine,"P - Antiparasitic products, insecticides and repellents"
peramivir,J - Antiinfectives for systemic use
coumarin,
Split dose aspirin (ASA),
Immunotherapy (ipilimumab and nivolumab),L - Antineoplastic and immunomodulating agents
AG2304T,
vincristine sulfate liposome,L - Antineoplastic and immunomodulating agents
rilvegostomig,
empagliflozin / metformin,A - Alimentary tract and metabolism
tafasitamab,L - Antineoplastic and immunomodulating agents
pepsin A,A - Alimentary tract and metabolism
cottonseed oil,
Spirulina,
Immunotherapy (Pembrolizumab),L - Antineoplastic and immunomodulating agents
AG2304R,
vincristine sulfate,L - Antineoplastic and immunomodulating agents
riluzole,N - Nervous system
empagliflozin / linagliptin,A - Alimentary tract and metabolism
tafamidis meglumine,N - Nervous system
peppermint preparation,
cottonseed extract,
Spinraza,M - Musculo-skeletal system
Immunotherapy,
AG regimen,B - Blood and blood forming organs
AG regimen,A - Alimentary tract and metabolism
AG regimen,N - Nervous system
AG regimen,C - Cardiovascular system
vincristine,L - Antineoplastic and immunomodulating agents
rilpivirine Injection,J - Antiinfectives for systemic use
empagliflozin,A - Alimentary tract and metabolism
tafamidis 61 MG,N - Nervous system
peppermint oil,A - Alimentary tract and metabolism
cotton fiber allergenic extract,V - Various
Spedox-6,
Immunosuppressive therapy (IST),
"AFA-281 is a small molecule, orally available",
vinblastine sulfate,L - Antineoplastic and immunomodulating agents
rilpivirine 25 MG,J - Antiinfectives for systemic use
emicizumab,B - Blood and blood forming organs
tafamidis,N - Nervous system
pentoxifylline 400 MG,C - Cardiovascular system
cosyntropin,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
Sotyktu,L - Antineoplastic and immunomodulating agents
Immunosuppressive Therapy,
AFA-281,
vinblastine,L - Antineoplastic and immunomodulating agents
rilpivirine,J - Antiinfectives for systemic use
embolization therapy,
tadalafil 5 MG,G - Genito urinary system and sex hormones
pentoxifylline,C - Cardiovascular system
cosibelimab-ipdl,
Sotradecol,C - Cardiovascular system
Immunochemotherapy,
AERO-007,
vimseltinib,
rilonacept,L - Antineoplastic and immunomodulating agents
